operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  2   	Server  port:  38001   	Client  port:  18001 
|internal event	|	2023-03-07 16:17:01.053062	|	0		|	1
|send			|	2023-03-07 16:17:01.053100	|	0		|	2
|receive		|	2023-03-07 16:17:02.058523	|	2		|	3	28001
|receive		|	2023-03-07 16:17:02.058550	|	1		|	6	18001
|receive		|	2023-03-07 16:17:03.064591	|	0		|	7	18001
|internal event	|	2023-03-07 16:17:03.064718	|	0		|	8
|receive		|	2023-03-07 16:17:04.067285	|	0		|	24	18001
|send			|	2023-03-07 16:17:04.067313	|	0		|	25
|internal event	|	2023-03-07 16:17:05.071788	|	0		|	26
|internal event	|	2023-03-07 16:17:05.071875	|	0		|	27
|receive		|	2023-03-07 16:17:06.072191	|	0		|	28	18001
|internal event	|	2023-03-07 16:17:06.072273	|	0		|	29
|receive		|	2023-03-07 16:17:07.077428	|	0		|	35	18001
|internal event	|	2023-03-07 16:17:07.077452	|	0		|	36
|receive		|	2023-03-07 16:17:08.082820	|	3		|	38	18001
|receive		|	2023-03-07 16:17:08.082846	|	2		|	40	28001
|receive		|	2023-03-07 16:17:09.089091	|	2		|	41	18001
|receive		|	2023-03-07 16:17:09.089275	|	1		|	43	18001
|receive		|	2023-03-07 16:17:10.090493	|	2		|	49	18001
|receive		|	2023-03-07 16:17:10.090518	|	1		|	50	28001
|receive		|	2023-03-07 16:17:11.095729	|	2		|	53	18001
|receive		|	2023-03-07 16:17:11.095746	|	1		|	55	28001
|receive		|	2023-03-07 16:17:12.101385	|	1		|	59	18001
|receive		|	2023-03-07 16:17:12.101454	|	0		|	63	18001
|receive		|	2023-03-07 16:17:13.104827	|	1		|	70	18001
|receive		|	2023-03-07 16:17:13.104918	|	0		|	71	18001
|receive		|	2023-03-07 16:17:14.110273	|	0		|	77	18001
|internal event	|	2023-03-07 16:17:14.110339	|	0		|	78
|receive		|	2023-03-07 16:17:15.112140	|	1		|	79	28001
|receive		|	2023-03-07 16:17:15.112170	|	0		|	80	28001
|internal event	|	2023-03-07 16:17:16.117021	|	0		|	81
|internal event	|	2023-03-07 16:17:16.117057	|	0		|	82
|receive		|	2023-03-07 16:17:17.121915	|	1		|	96	28001
|receive		|	2023-03-07 16:17:17.121982	|	0		|	97	28001
|receive		|	2023-03-07 16:17:18.124226	|	1		|	101	18001
|receive		|	2023-03-07 16:17:18.124263	|	0		|	103	28001
|receive		|	2023-03-07 16:17:19.130987	|	1		|	104	18001
|receive		|	2023-03-07 16:17:19.131101	|	0		|	106	28001
|receive		|	2023-03-07 16:17:20.136967	|	2		|	113	18001
|receive		|	2023-03-07 16:17:20.137079	|	1		|	115	28001
|receive		|	2023-03-07 16:17:21.141054	|	1		|	116	28001
|receive		|	2023-03-07 16:17:21.141085	|	0		|	119	28001
|receive		|	2023-03-07 16:17:22.145593	|	0		|	123	18001
|internal event	|	2023-03-07 16:17:22.145675	|	0		|	124
|receive		|	2023-03-07 16:17:23.150931	|	1		|	131	18001
|receive		|	2023-03-07 16:17:23.151028	|	0		|	133	18001
|receive		|	2023-03-07 16:17:24.155740	|	0		|	137	18001
|internal event	|	2023-03-07 16:17:24.155864	|	0		|	138
|receive		|	2023-03-07 16:17:25.158822	|	1		|	143	28001
|receive		|	2023-03-07 16:17:25.158907	|	0		|	144	28001
|internal event	|	2023-03-07 16:17:26.164101	|	0		|	145
|internal event	|	2023-03-07 16:17:26.164154	|	0		|	146
|internal event	|	2023-03-07 16:17:27.167053	|	0		|	147
|internal event	|	2023-03-07 16:17:27.167212	|	0		|	148
|receive		|	2023-03-07 16:17:28.173270	|	2		|	162	18001
|receive		|	2023-03-07 16:17:28.173365	|	1		|	164	28001
|receive		|	2023-03-07 16:17:29.177050	|	0		|	165	28001
|internal event	|	2023-03-07 16:17:29.177122	|	0		|	166
|receive		|	2023-03-07 16:17:30.183227	|	1		|	175	18001
|receive		|	2023-03-07 16:17:30.184829	|	0		|	176	28001
|receive		|	2023-03-07 16:17:31.189664	|	2		|	177	28001
|receive		|	2023-03-07 16:17:31.189702	|	1		|	178	28001
|receive		|	2023-03-07 16:17:32.194706	|	3		|	181	18001
|receive		|	2023-03-07 16:17:32.195340	|	2		|	183	18001
|receive		|	2023-03-07 16:17:33.200312	|	2		|	184	18001
|receive		|	2023-03-07 16:17:33.200378	|	1		|	186	18001
|receive		|	2023-03-07 16:17:34.206592	|	1		|	189	18001
|receive		|	2023-03-07 16:17:34.206700	|	0		|	198	18001
|receive		|	2023-03-07 16:17:35.209211	|	0		|	200	28001
|internal event	|	2023-03-07 16:17:35.209301	|	0		|	201
|send			|	2023-03-07 16:17:36.214719	|	0		|	202
|internal event	|	2023-03-07 16:17:36.214792	|	0		|	203
|receive		|	2023-03-07 16:17:37.221074	|	0		|	208	28001
|internal event	|	2023-03-07 16:17:37.221172	|	0		|	209
|receive		|	2023-03-07 16:17:38.229558	|	2		|	218	18001
|receive		|	2023-03-07 16:17:38.229630	|	1		|	221	18001
|receive		|	2023-03-07 16:17:39.237102	|	2		|	222	28001
|receive		|	2023-03-07 16:17:39.237200	|	1		|	225	28001
|receive		|	2023-03-07 16:17:40.248896	|	1		|	228	18001
|receive		|	2023-03-07 16:17:40.249241	|	0		|	233	18001
|receive		|	2023-03-07 16:17:41.255654	|	2		|	240	18001
|receive		|	2023-03-07 16:17:41.255720	|	1		|	241	18001
|receive		|	2023-03-07 16:17:42.262051	|	2		|	242	28001
|receive		|	2023-03-07 16:17:42.262107	|	1		|	246	18001
|receive		|	2023-03-07 16:17:43.265537	|	3		|	247	28001
|receive		|	2023-03-07 16:17:43.265581	|	2		|	249	18001
|receive		|	2023-03-07 16:17:44.271428	|	2		|	253	28001
|receive		|	2023-03-07 16:17:44.271490	|	1		|	255	28001
|receive		|	2023-03-07 16:17:45.277820	|	2		|	256	18001
|receive		|	2023-03-07 16:17:45.277875	|	1		|	265	18001
|receive		|	2023-03-07 16:17:46.281709	|	1		|	269	18001
|receive		|	2023-03-07 16:17:46.281798	|	0		|	272	28001
|receive		|	2023-03-07 16:17:47.288109	|	3		|	275	18001
|receive		|	2023-03-07 16:17:47.288194	|	2		|	276	18001
|receive		|	2023-03-07 16:17:48.295471	|	2		|	278	28001
|receive		|	2023-03-07 16:17:48.295518	|	1		|	279	28001
|receive		|	2023-03-07 16:17:49.305514	|	1		|	284	18001
|receive		|	2023-03-07 16:17:49.305560	|	0		|	289	18001
|receive		|	2023-03-07 16:17:50.309372	|	1		|	296	18001
|receive		|	2023-03-07 16:17:50.309426	|	0		|	297	28001
|internal event	|	2023-03-07 16:17:51.314606	|	0		|	298
|send			|	2023-03-07 16:17:51.315132	|	0		|	299
|receive		|	2023-03-07 16:17:52.321598	|	1		|	306	18001
|receive		|	2023-03-07 16:17:52.321651	|	0		|	308	18001
|receive		|	2023-03-07 16:17:53.325633	|	0		|	311	18001
|internal event	|	2023-03-07 16:17:53.325692	|	0		|	312
|receive		|	2023-03-07 16:17:54.327550	|	2		|	317	18001
|receive		|	2023-03-07 16:17:54.327621	|	1		|	320	18001
|receive		|	2023-03-07 16:17:55.333745	|	2		|	321	28001
|receive		|	2023-03-07 16:17:55.338537	|	1		|	327	28001
|receive		|	2023-03-07 16:17:56.344285	|	2		|	328	28001
|receive		|	2023-03-07 16:17:56.344360	|	1		|	329	18001
