operation	global_time	length_of_queue	logical_clock	clockrate: 6
|internal event	|	time.time	|	0		|	176
|send			|	time.time	|	0		|	177
|send			|	time.time	|	0		|	178
|send			|	time.time	|	0		|	179
|send			|	time.time	|	0		|	180
|send			|	time.time	|	0		|	181
|send			|	time.time	|	0		|	182
|internal event	|	time.time	|	0		|	183
|internal event	|	time.time	|	0		|	184
|internal event	|	time.time	|	0		|	185
|internal event	|	time.time	|	0		|	186
|receive		|	time.time	|	1		|	186
|internal event	|	time.time	|	0		|	188
|internal event	|	time.time	|	0		|	189
|internal event	|	time.time	|	0		|	190
|internal event	|	time.time	|	0		|	191
|internal event	|	time.time	|	0		|	192
|receive		|	time.time	|	1		|	192
|send			|	time.time	|	0		|	194
|internal event	|	time.time	|	0		|	195
|internal event	|	time.time	|	0		|	196
|send			|	time.time	|	0		|	197
|send			|	time.time	|	0		|	198
|receive		|	time.time	|	2		|	198
|receive		|	time.time	|	1		|	199
|internal event	|	time.time	|	0		|	201
|internal event	|	time.time	|	0		|	202
|send			|	time.time	|	0		|	203
|send			|	time.time	|	0		|	204
|send			|	time.time	|	0		|	205
|internal event	|	time.time	|	0		|	206
|internal event	|	time.time	|	0		|	207
|send			|	time.time	|	0		|	208
|internal event	|	time.time	|	0		|	209
|send			|	time.time	|	0		|	210
|send			|	time.time	|	0		|	211
|internal event	|	time.time	|	0		|	212
|send			|	time.time	|	0		|	213
|internal event	|	time.time	|	0		|	214
|internal event	|	time.time	|	0		|	215
|send			|	time.time	|	0		|	216
|receive		|	time.time	|	1		|	216
|send			|	time.time	|	0		|	218
|send			|	time.time	|	0		|	219
|send			|	time.time	|	0		|	220
|send			|	time.time	|	0		|	221
|send			|	time.time	|	0		|	222
|receive		|	time.time	|	2		|	222
|receive		|	time.time	|	1		|	223
|send			|	time.time	|	0		|	225
|send			|	time.time	|	0		|	226
|send			|	time.time	|	0		|	227
|internal event	|	time.time	|	0		|	228
|send			|	time.time	|	0		|	229
|internal event	|	time.time	|	0		|	230
|send			|	time.time	|	0		|	231
|send			|	time.time	|	0		|	232
|send			|	time.time	|	0		|	233
|send			|	time.time	|	0		|	234
|receive		|	time.time	|	2		|	234
|receive		|	time.time	|	1		|	235
|send			|	time.time	|	0		|	237
|send			|	time.time	|	0		|	238
|send			|	time.time	|	0		|	239
|internal event	|	time.time	|	0		|	240
|receive		|	time.time	|	1		|	240
|send			|	time.time	|	0		|	242
|send			|	time.time	|	0		|	243
|internal event	|	time.time	|	0		|	244
|internal event	|	time.time	|	0		|	245
|send			|	time.time	|	0		|	246
|send			|	time.time	|	0		|	247
|send			|	time.time	|	0		|	248
|internal event	|	time.time	|	0		|	249
|send			|	time.time	|	0		|	250
|internal event	|	time.time	|	0		|	251
|internal event	|	time.time	|	0		|	252
|send			|	time.time	|	0		|	253
|send			|	time.time	|	0		|	254
|internal event	|	time.time	|	0		|	255
|internal event	|	time.time	|	0		|	256
|send			|	time.time	|	0		|	257
|internal event	|	time.time	|	0		|	258
|receive		|	time.time	|	1		|	258
|send			|	time.time	|	0		|	260
|send			|	time.time	|	0		|	261
|internal event	|	time.time	|	0		|	262
|internal event	|	time.time	|	0		|	263
|send			|	time.time	|	0		|	264
|send			|	time.time	|	0		|	265
|send			|	time.time	|	0		|	266
|send			|	time.time	|	0		|	267
|internal event	|	time.time	|	0		|	268
|internal event	|	time.time	|	0		|	269
