operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  5   	Server  port:  28003   	Client  port:  18003 
|send			|	2023-03-07 23:31:29.055659	|	0		|	1
|send			|	2023-03-07 23:31:29.055967	|	0		|	2
|send			|	2023-03-07 23:31:29.056218	|	0		|	3
|internal event	|	2023-03-07 23:31:29.056315	|	0		|	4
|internal event	|	2023-03-07 23:31:29.056456	|	0		|	5
|send			|	2023-03-07 23:31:30.057031	|	0		|	6
|internal event	|	2023-03-07 23:31:30.057188	|	0		|	7
|internal event	|	2023-03-07 23:31:30.057309	|	0		|	8
|send			|	2023-03-07 23:31:30.057529	|	0		|	9
|send			|	2023-03-07 23:31:30.057801	|	0		|	10
