operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  2   	Server  port:  28001   	Client  port:  38001 
|send			|	2023-03-07 18:30:37.361177	|	0		|	1
|send			|	2023-03-07 18:30:37.361220	|	0		|	2
|receive		|	2023-03-07 18:30:38.364412	|	0		|	8	18001
|internal event	|	2023-03-07 18:30:38.364456	|	0		|	9
|receive		|	2023-03-07 18:30:39.368543	|	1		|	11	38001
|receive		|	2023-03-07 18:30:39.368562	|	0		|	16	38001
|receive		|	2023-03-07 18:30:40.373094	|	1		|	20	38001
|receive		|	2023-03-07 18:30:40.373235	|	0		|	22	38001
|send			|	2023-03-07 18:30:41.374553	|	0		|	23
|send			|	2023-03-07 18:30:41.374774	|	0		|	24
|receive		|	2023-03-07 18:30:42.379730	|	2		|	25	38001
|receive		|	2023-03-07 18:30:42.379769	|	1		|	26	38001
|receive		|	2023-03-07 18:30:43.386350	|	3		|	27	18001
|receive		|	2023-03-07 18:30:43.386437	|	2		|	33	18001
|receive		|	2023-03-07 18:30:44.391057	|	1		|	34	18001
|receive		|	2023-03-07 18:30:44.391138	|	0		|	36	38001
|receive		|	2023-03-07 18:30:45.410030	|	2		|	42	38001
|receive		|	2023-03-07 18:30:45.410145	|	1		|	44	38001
|receive		|	2023-03-07 18:30:46.417576	|	4		|	47	18001
|receive		|	2023-03-07 18:30:46.417612	|	3		|	48	38001
|receive		|	2023-03-07 18:30:47.419971	|	4		|	49	38001
|receive		|	2023-03-07 18:30:47.419987	|	3		|	50	18001
|receive		|	2023-03-07 18:30:48.425134	|	4		|	51	18001
|receive		|	2023-03-07 18:30:48.425153	|	3		|	54	38001
|receive		|	2023-03-07 18:30:49.427954	|	4		|	55	38001
|receive		|	2023-03-07 18:30:49.427978	|	3		|	57	38001
|receive		|	2023-03-07 18:30:50.430570	|	4		|	62	18001
|receive		|	2023-03-07 18:30:50.430590	|	3		|	65	38001
|receive		|	2023-03-07 18:30:51.436343	|	5		|	67	18001
|receive		|	2023-03-07 18:30:51.436398	|	4		|	71	38001
|receive		|	2023-03-07 18:30:52.440732	|	7		|	72	18001
|receive		|	2023-03-07 18:30:52.440767	|	6		|	74	38001
|receive		|	2023-03-07 18:30:53.443867	|	7		|	75	38001
|receive		|	2023-03-07 18:30:53.443892	|	6		|	76	38001
|receive		|	2023-03-07 18:30:54.450702	|	7		|	81	18001
|receive		|	2023-03-07 18:30:54.450756	|	6		|	82	38001
|receive		|	2023-03-07 18:30:55.455857	|	11		|	83	38001
|receive		|	2023-03-07 18:30:55.455876	|	10		|	84	38001
|receive		|	2023-03-07 18:30:56.461077	|	12		|	85	18001
|receive		|	2023-03-07 18:30:56.461099	|	11		|	86	38001
|receive		|	2023-03-07 18:30:57.463027	|	15		|	88	38001
|receive		|	2023-03-07 18:30:57.463044	|	14		|	91	18001
|receive		|	2023-03-07 18:30:58.469462	|	13		|	93	18001
|receive		|	2023-03-07 18:30:58.469552	|	12		|	94	18001
|receive		|	2023-03-07 18:30:59.473279	|	14		|	95	38001
|receive		|	2023-03-07 18:30:59.473369	|	13		|	98	38001
|receive		|	2023-03-07 18:31:00.478526	|	13		|	100	38001
|receive		|	2023-03-07 18:31:00.478551	|	12		|	101	38001
|receive		|	2023-03-07 18:31:01.481196	|	12		|	102	18001
|receive		|	2023-03-07 18:31:01.481241	|	11		|	103	18001
|receive		|	2023-03-07 18:31:02.487938	|	13		|	104	38001
|receive		|	2023-03-07 18:31:02.488043	|	12		|	105	18001
|receive		|	2023-03-07 18:31:03.494061	|	15		|	106	18001
|receive		|	2023-03-07 18:31:03.494149	|	14		|	109	38001
|receive		|	2023-03-07 18:31:04.500146	|	15		|	111	38001
|receive		|	2023-03-07 18:31:04.500198	|	14		|	114	18001
|receive		|	2023-03-07 18:31:05.506426	|	16		|	116	18001
|receive		|	2023-03-07 18:31:05.506523	|	15		|	117	38001
|receive		|	2023-03-07 18:31:06.511429	|	17		|	118	18001
|receive		|	2023-03-07 18:31:06.511477	|	16		|	120	18001
|receive		|	2023-03-07 18:31:07.520284	|	19		|	124	18001
|receive		|	2023-03-07 18:31:07.520364	|	18		|	129	18001
|receive		|	2023-03-07 18:31:08.523152	|	20		|	130	38001
|receive		|	2023-03-07 18:31:08.523237	|	19		|	131	38001
|receive		|	2023-03-07 18:31:09.526766	|	21		|	134	18001
|receive		|	2023-03-07 18:31:09.526817	|	20		|	135	38001
|receive		|	2023-03-07 18:31:10.535701	|	24		|	136	38001
|receive		|	2023-03-07 18:31:10.535752	|	23		|	137	38001
|receive		|	2023-03-07 18:31:11.539840	|	22		|	138	18001
|receive		|	2023-03-07 18:31:11.539892	|	21		|	139	18001
|receive		|	2023-03-07 18:31:12.546670	|	23		|	140	18001
|receive		|	2023-03-07 18:31:12.546732	|	22		|	141	18001
