operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  1   	Server  port:  18001   	Client  port:  28001 
|send			|	2023-03-07 19:21:12.978741	|	0		|	1
|receive		|	2023-03-07 19:21:13.982757	|	2		|	2	38001
|receive		|	2023-03-07 19:21:14.985077	|	3		|	3	28001
|receive		|	2023-03-07 19:21:15.990360	|	4		|	4	28001
|receive		|	2023-03-07 19:21:16.995498	|	4		|	7	28001
|receive		|	2023-03-07 19:21:17.996539	|	7		|	8	28001
|receive		|	2023-03-07 19:21:19.001926	|	8		|	11	28001
|receive		|	2023-03-07 19:21:20.004260	|	8		|	14	28001
|receive		|	2023-03-07 19:21:21.010908	|	7		|	20	28001
|receive		|	2023-03-07 19:21:22.016734	|	7		|	21	28001
|receive		|	2023-03-07 19:21:23.018701	|	8		|	22	28001
|receive		|	2023-03-07 19:21:24.023817	|	9		|	23	28001
|receive		|	2023-03-07 19:21:25.027494	|	8		|	24	28001
|receive		|	2023-03-07 19:21:26.032646	|	7		|	27	28001
|receive		|	2023-03-07 19:21:27.039993	|	8		|	28	28001
|receive		|	2023-03-07 19:21:28.043837	|	11		|	30	28001
|receive		|	2023-03-07 19:21:29.045977	|	11		|	31	38001
|receive		|	2023-03-07 19:21:30.051119	|	12		|	37	28001
|receive		|	2023-03-07 19:21:31.056566	|	12		|	38	28001
|receive		|	2023-03-07 19:21:32.062131	|	14		|	43	28001
|receive		|	2023-03-07 19:21:33.064133	|	13		|	48	28001
|receive		|	2023-03-07 19:21:34.066353	|	13		|	53	28001
|receive		|	2023-03-07 19:21:35.071106	|	13		|	54	28001
|receive		|	2023-03-07 19:21:36.073581	|	14		|	57	28001
|receive		|	2023-03-07 19:21:37.075862	|	14		|	58	28001
|receive		|	2023-03-07 19:21:38.079983	|	15		|	59	28001
|receive		|	2023-03-07 19:21:39.084975	|	16		|	60	28001
|receive		|	2023-03-07 19:21:40.090446	|	18		|	61	38001
|receive		|	2023-03-07 19:21:41.096627	|	20		|	67	28001
|receive		|	2023-03-07 19:21:42.097465	|	21		|	68	38001
|receive		|	2023-03-07 19:21:43.104894	|	23		|	72	28001
|receive		|	2023-03-07 19:21:44.108343	|	27		|	74	28001
|receive		|	2023-03-07 19:21:45.112801	|	28		|	75	38001
|receive		|	2023-03-07 19:21:46.113610	|	27		|	76	38001
|receive		|	2023-03-07 19:21:47.121689	|	27		|	84	28001
|receive		|	2023-03-07 19:21:48.125135	|	29		|	85	38001
|receive		|	2023-03-07 19:21:49.127239	|	29		|	90	28001
|receive		|	2023-03-07 19:21:50.132399	|	30		|	92	28001
|receive		|	2023-03-07 19:21:51.137022	|	31		|	95	28001
|receive		|	2023-03-07 19:21:52.139381	|	31		|	97	28001
|receive		|	2023-03-07 19:21:53.144923	|	33		|	98	28001
|receive		|	2023-03-07 19:21:54.150151	|	35		|	103	28001
|receive		|	2023-03-07 19:21:55.153750	|	37		|	104	28001
|receive		|	2023-03-07 19:21:56.155004	|	38		|	105	28001
|receive		|	2023-03-07 19:21:57.160249	|	40		|	106	28001
|receive		|	2023-03-07 19:21:58.160812	|	42		|	108	28001
|receive		|	2023-03-07 19:21:59.166056	|	42		|	109	28001
|receive		|	2023-03-07 19:22:00.171306	|	43		|	110	28001
|receive		|	2023-03-07 19:22:01.181903	|	45		|	111	28001
|receive		|	2023-03-07 19:22:02.183189	|	46		|	114	28001
|receive		|	2023-03-07 19:22:03.187279	|	46		|	116	28001
|receive		|	2023-03-07 19:22:04.190971	|	47		|	117	38001
|receive		|	2023-03-07 19:22:05.192777	|	48		|	118	28001
|receive		|	2023-03-07 19:22:06.198421	|	50		|	119	28001
|receive		|	2023-03-07 19:22:07.200373	|	51		|	122	28001
|receive		|	2023-03-07 19:22:08.205872	|	52		|	123	28001
|receive		|	2023-03-07 19:22:09.213444	|	54		|	124	28001
|receive		|	2023-03-07 19:22:10.222799	|	53		|	125	38001
|receive		|	2023-03-07 19:22:11.228087	|	57		|	126	38001
|receive		|	2023-03-07 19:22:12.231913	|	57		|	127	28001
