operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  2   	Server  port:  38001   	Client  port:  18001 
|internal event	|	2023-03-07 19:21:12.978718	|	0		|	1
|send			|	2023-03-07 19:21:12.978765	|	0		|	2
|receive		|	2023-03-07 19:21:13.984173	|	1		|	3	28001
|receive		|	2023-03-07 19:21:13.984241	|	0		|	7	28001
|receive		|	2023-03-07 19:21:14.989222	|	0		|	12	28001
|send			|	2023-03-07 19:21:14.989247	|	0		|	13
|receive		|	2023-03-07 19:21:15.991709	|	0		|	16	28001
|internal event	|	2023-03-07 19:21:15.991728	|	0		|	17
|receive		|	2023-03-07 19:21:16.995496	|	2		|	18	28001
|receive		|	2023-03-07 19:21:16.995511	|	1		|	19	28001
|receive		|	2023-03-07 19:21:18.000372	|	2		|	20	28001
|receive		|	2023-03-07 19:21:18.000409	|	1		|	21	28001
|receive		|	2023-03-07 19:21:19.001902	|	3		|	22	28001
|receive		|	2023-03-07 19:21:19.001942	|	2		|	26	28001
|receive		|	2023-03-07 19:21:20.006746	|	2		|	27	28001
|receive		|	2023-03-07 19:21:20.006762	|	1		|	28	28001
|receive		|	2023-03-07 19:21:21.010365	|	0		|	30	28001
|send			|	2023-03-07 19:21:21.010645	|	0		|	31
|receive		|	2023-03-07 19:21:22.011255	|	1		|	33	28001
|receive		|	2023-03-07 19:21:22.011311	|	0		|	35	28001
|receive		|	2023-03-07 19:21:23.016502	|	2		|	37	28001
|receive		|	2023-03-07 19:21:23.016529	|	1		|	38	28001
|receive		|	2023-03-07 19:21:24.021734	|	1		|	39	28001
|receive		|	2023-03-07 19:21:24.021754	|	0		|	43	28001
|receive		|	2023-03-07 19:21:25.027148	|	1		|	45	28001
|receive		|	2023-03-07 19:21:25.027175	|	0		|	48	28001
|receive		|	2023-03-07 19:21:26.032583	|	1		|	49	28001
|receive		|	2023-03-07 19:21:26.032607	|	0		|	51	28001
|receive		|	2023-03-07 19:21:27.039135	|	1		|	53	28001
|receive		|	2023-03-07 19:21:27.039381	|	0		|	54	28001
|internal event	|	2023-03-07 19:21:28.043756	|	0		|	55
|send			|	2023-03-07 19:21:28.044293	|	0		|	56
|send			|	2023-03-07 19:21:29.045993	|	0		|	57
|internal event	|	2023-03-07 19:21:29.046029	|	0		|	58
|internal event	|	2023-03-07 19:21:30.050688	|	0		|	59
|send			|	2023-03-07 19:21:30.050750	|	0		|	60
|receive		|	2023-03-07 19:21:31.051561	|	1		|	70	28001
|receive		|	2023-03-07 19:21:31.051611	|	0		|	71	28001
|send			|	2023-03-07 19:21:32.057895	|	0		|	72
|send			|	2023-03-07 19:21:32.058101	|	0		|	73
|receive		|	2023-03-07 19:21:33.059763	|	0		|	77	28001
|send			|	2023-03-07 19:21:33.059834	|	0		|	78
|receive		|	2023-03-07 19:21:34.062071	|	1		|	83	28001
|receive		|	2023-03-07 19:21:34.062092	|	0		|	84	28001
|send			|	2023-03-07 19:21:35.068709	|	0		|	85
|internal event	|	2023-03-07 19:21:35.068870	|	0		|	86
|receive		|	2023-03-07 19:21:36.071072	|	2		|	90	28001
|receive		|	2023-03-07 19:21:36.071099	|	1		|	91	28001
|receive		|	2023-03-07 19:21:37.076132	|	2		|	92	28001
|receive		|	2023-03-07 19:21:37.076146	|	1		|	94	28001
|receive		|	2023-03-07 19:21:38.080536	|	2		|	95	28001
|receive		|	2023-03-07 19:21:38.080571	|	1		|	97	28001
|receive		|	2023-03-07 19:21:39.084335	|	2		|	98	28001
|receive		|	2023-03-07 19:21:39.084368	|	1		|	101	28001
|receive		|	2023-03-07 19:21:40.090575	|	1		|	104	28001
|receive		|	2023-03-07 19:21:40.090632	|	0		|	107	28001
|receive		|	2023-03-07 19:21:41.096626	|	1		|	109	28001
|receive		|	2023-03-07 19:21:41.096698	|	0		|	110	28001
|receive		|	2023-03-07 19:21:42.097464	|	0		|	116	28001
|send			|	2023-03-07 19:21:42.097531	|	0		|	117
|receive		|	2023-03-07 19:21:43.105603	|	0		|	118	28001
|send			|	2023-03-07 19:21:43.105702	|	0		|	119
|receive		|	2023-03-07 19:21:44.106702	|	0		|	123	28001
|send			|	2023-03-07 19:21:44.106751	|	0		|	124
|receive		|	2023-03-07 19:21:45.107166	|	1		|	125	28001
|receive		|	2023-03-07 19:21:45.107187	|	0		|	128	28001
|receive		|	2023-03-07 19:21:46.112838	|	1		|	130	28001
|receive		|	2023-03-07 19:21:46.112875	|	0		|	131	28001
|receive		|	2023-03-07 19:21:47.119627	|	1		|	133	28001
|receive		|	2023-03-07 19:21:47.119708	|	0		|	135	28001
|receive		|	2023-03-07 19:21:48.123592	|	2		|	137	28001
|receive		|	2023-03-07 19:21:48.123639	|	1		|	139	28001
|receive		|	2023-03-07 19:21:49.126180	|	1		|	140	28001
|receive		|	2023-03-07 19:21:49.126215	|	0		|	144	28001
|send			|	2023-03-07 19:21:50.132517	|	0		|	145
|internal event	|	2023-03-07 19:21:50.132595	|	0		|	146
|receive		|	2023-03-07 19:21:51.133316	|	0		|	151	28001
|internal event	|	2023-03-07 19:21:51.133346	|	0		|	152
|internal event	|	2023-03-07 19:21:52.139219	|	0		|	153
|send			|	2023-03-07 19:21:52.139569	|	0		|	154
|send			|	2023-03-07 19:21:53.145089	|	0		|	155
|send			|	2023-03-07 19:21:53.145223	|	0		|	156
|receive		|	2023-03-07 19:21:54.146487	|	1		|	162	28001
|receive		|	2023-03-07 19:21:54.146531	|	0		|	164	28001
|receive		|	2023-03-07 19:21:55.153928	|	0		|	167	28001
|send			|	2023-03-07 19:21:55.154172	|	0		|	168
|receive		|	2023-03-07 19:21:56.156762	|	0		|	172	28001
|internal event	|	2023-03-07 19:21:56.156776	|	0		|	173
|send			|	2023-03-07 19:21:57.161899	|	0		|	174
|internal event	|	2023-03-07 19:21:57.161918	|	0		|	175
|receive		|	2023-03-07 19:21:58.166726	|	1		|	178	28001
|receive		|	2023-03-07 19:21:58.166746	|	0		|	180	28001
|receive		|	2023-03-07 19:21:59.170967	|	0		|	183	28001
|send			|	2023-03-07 19:21:59.171015	|	0		|	184
|receive		|	2023-03-07 19:22:00.171884	|	1		|	185	28001
|receive		|	2023-03-07 19:22:00.171901	|	0		|	188	28001
|receive		|	2023-03-07 19:22:01.182663	|	1		|	189	28001
|receive		|	2023-03-07 19:22:01.182710	|	0		|	192	28001
|receive		|	2023-03-07 19:22:02.186839	|	0		|	195	28001
|internal event	|	2023-03-07 19:22:02.186858	|	0		|	196
|internal event	|	2023-03-07 19:22:03.187230	|	0		|	197
|internal event	|	2023-03-07 19:22:03.187271	|	0		|	198
|receive		|	2023-03-07 19:22:04.192420	|	1		|	201	28001
|receive		|	2023-03-07 19:22:04.192436	|	0		|	202	28001
|receive		|	2023-03-07 19:22:05.195751	|	0		|	207	28001
|send			|	2023-03-07 19:22:05.195843	|	0		|	208
|receive		|	2023-03-07 19:22:06.199169	|	0		|	211	28001
|internal event	|	2023-03-07 19:22:06.199207	|	0		|	212
|receive		|	2023-03-07 19:22:07.204250	|	2		|	213	28001
|receive		|	2023-03-07 19:22:07.204265	|	1		|	214	28001
|receive		|	2023-03-07 19:22:08.208982	|	2		|	216	28001
|receive		|	2023-03-07 19:22:08.209013	|	1		|	217	28001
|receive		|	2023-03-07 19:22:09.214397	|	1		|	218	28001
|receive		|	2023-03-07 19:22:09.214447	|	0		|	221	28001
|receive		|	2023-03-07 19:22:10.222938	|	2		|	225	28001
