operation	global_time	length_of_queue	logical_clock
|receive	|	time.time	2	2
|receive	|	time.time	1	3
|receive	|	time.time	0	4
|receive	|	time.time	4	14
|receive	|	time.time	3	15
|receive	|	time.time	2	16
|receive	|	time.time	1	17
|receive	|	time.time	0	18
|receive	|	time.time	2	24
|receive	|	time.time	1	25
|receive	|	time.time	3	26
|receive	|	time.time	2	27
|receive	|	time.time	1	28
|receive	|	time.time	0	29
|receive	|	time.time	2	38
|receive	|	time.time	1	39
|receive	|	time.time	0	40
|receive	|	time.time	2	44
|receive	|	time.time	1	45
|receive	|	time.time	0	46
|receive	|	time.time	2	50
|receive	|	time.time	1	51
|receive	|	time.time	0	52
|receive	|	time.time	2	56
|receive	|	time.time	1	57
|receive	|	time.time	0	58
|receive	|	time.time	2	62
|receive	|	time.time	1	63
|receive	|	time.time	0	64
|receive	|	time.time	5	68
|receive	|	time.time	4	69
|receive	|	time.time	3	70
|receive	|	time.time	2	71
|receive	|	time.time	1	72
|receive	|	time.time	0	73
|receive	|	time.time	2	80
|receive	|	time.time	1	81
|receive	|	time.time	0	82
|receive	|	time.time	0	84
|receive	|	time.time	1	86
|receive	|	time.time	0	87
|receive	|	time.time	0	89
|receive	|	time.time	1	91
|receive	|	time.time	0	92
|receive	|	time.time	5	98
|receive	|	time.time	4	99
|receive	|	time.time	3	100
|receive	|	time.time	2	101
|receive	|	time.time	1	102
|receive	|	time.time	0	103
|receive	|	time.time	2	110
|receive	|	time.time	1	111
|receive	|	time.time	0	112
|receive	|	time.time	2	116
|receive	|	time.time	1	117
|receive	|	time.time	0	118
|receive	|	time.time	2	122
|receive	|	time.time	1	123
|receive	|	time.time	0	124
|receive	|	time.time	2	128
|receive	|	time.time	1	129
|receive	|	time.time	0	130
|receive	|	time.time	2	134
|receive	|	time.time	1	135
|receive	|	time.time	0	136
|receive	|	time.time	2	140
|receive	|	time.time	1	141
|receive	|	time.time	0	142
|receive	|	time.time	2	146
|receive	|	time.time	1	147
|receive	|	time.time	0	148
|receive	|	time.time	2	152
|receive	|	time.time	1	153
|receive	|	time.time	0	154
|receive	|	time.time	2	158
|receive	|	time.time	1	159
|receive	|	time.time	0	160
|receive	|	time.time	2	164
|receive	|	time.time	1	165
|receive	|	time.time	0	166
|receive	|	time.time	5	170
|receive	|	time.time	4	171
|receive	|	time.time	3	172
|receive	|	time.time	2	173
|receive	|	time.time	1	174
|receive	|	time.time	0	175
|receive	|	time.time	2	176
|receive	|	time.time	1	177
|receive	|	time.time	0	178
|receive	|	time.time	2	182
|receive	|	time.time	1	183
|receive	|	time.time	0	184
|receive	|	time.time	2	188
|receive	|	time.time	1	189
|receive	|	time.time	0	190
|receive	|	time.time	2	194
|receive	|	time.time	1	195
|receive	|	time.time	0	196
|receive	|	time.time	2	200
|receive	|	time.time	1	201
|receive	|	time.time	0	202
|receive	|	time.time	2	212
|receive	|	time.time	1	213
|receive	|	time.time	1	214
|receive	|	time.time	0	215
|receive	|	time.time	1	217
|receive	|	time.time	0	218
|receive	|	time.time	2	224
|receive	|	time.time	1	225
|receive	|	time.time	0	226
|receive	|	time.time	2	230
|receive	|	time.time	1	231
|receive	|	time.time	0	232
|receive	|	time.time	2	236
|receive	|	time.time	1	237
|receive	|	time.time	0	238
|receive	|	time.time	2	242
|receive	|	time.time	1	243
|receive	|	time.time	0	244
|receive	|	time.time	2	248
|receive	|	time.time	1	249
|receive	|	time.time	0	250
|receive	|	time.time	2	254
|receive	|	time.time	1	255
|receive	|	time.time	0	256
|receive	|	time.time	5	260
|receive	|	time.time	4	261
|receive	|	time.time	3	262
|receive	|	time.time	2	263
|receive	|	time.time	1	264
|receive	|	time.time	0	265
|receive	|	time.time	2	272
|receive	|	time.time	1	273
|receive	|	time.time	0	274
|receive	|	time.time	2	278
|receive	|	time.time	1	279
|receive	|	time.time	0	280
|receive	|	time.time	4	284
|receive	|	time.time	3	285
|receive	|	time.time	2	286
|receive	|	time.time	1	287
|receive	|	time.time	0	288
|receive	|	time.time	3	290
|receive	|	time.time	2	291
|receive	|	time.time	1	292
|receive	|	time.time	0	293
|receive	|	time.time	2	296
|receive	|	time.time	1	297
|receive	|	time.time	0	298
|receive	|	time.time	2	302
|receive	|	time.time	1	303
|receive	|	time.time	0	304
|receive	|	time.time	2	308
|receive	|	time.time	1	309
|receive	|	time.time	0	310
|receive	|	time.time	2	314
|receive	|	time.time	1	315
|receive	|	time.time	0	316
|receive	|	time.time	2	320
|receive	|	time.time	1	321
|receive	|	time.time	0	322
|receive	|	time.time	2	326
|receive	|	time.time	1	327
|receive	|	time.time	0	328
|receive	|	time.time	2	332
|receive	|	time.time	1	333
|receive	|	time.time	0	334
|receive	|	time.time	2	338
|receive	|	time.time	1	339
|receive	|	time.time	0	340
