operation 				global_time 		length_of_queue 	logical_clock  		clockrate:  1   	Server  port:  28001   	Client  port:  38001 
|internal event	|	2023-03-06 21:28:48.758617	|	0		|	1
|send			|	2023-03-06 21:28:49.761164	|	0		|	2
|internal event	|	2023-03-06 21:28:50.763287	|	0		|	3
|internal event	|	2023-03-06 21:28:51.766490	|	0		|	4
|internal event	|	2023-03-06 21:28:52.770926	|	0		|	5
|receive		|	2023-03-06 21:28:53.775273	|	0		|	17
|receive		|	2023-03-06 21:28:54.780363	|	1		|	20
|receive		|	2023-03-06 21:28:55.782783	|	0		|	22
|send			|	2023-03-06 21:28:56.786346	|	0		|	23
|internal event	|	2023-03-06 21:28:57.788827	|	0		|	24
|internal event	|	2023-03-06 21:28:58.789722	|	0		|	25
|receive		|	2023-03-06 21:28:59.797920	|	0		|	51
|internal event	|	2023-03-06 21:29:00.803883	|	0		|	52
|internal event	|	2023-03-06 21:29:01.806160	|	0		|	53
|internal event	|	2023-03-06 21:29:02.811234	|	0		|	54
|internal event	|	2023-03-06 21:29:03.813712	|	0		|	55
|receive		|	2023-03-06 21:29:04.819202	|	0		|	76
|receive		|	2023-03-06 21:29:05.825371	|	0		|	79
|receive		|	2023-03-06 21:29:06.833300	|	2		|	81
|receive		|	2023-03-06 21:29:07.835289	|	1		|	82
|receive		|	2023-03-06 21:29:08.840671	|	0		|	83
|receive		|	2023-03-06 21:29:09.847569	|	0		|	99
|receive		|	2023-03-06 21:29:10.855014	|	0		|	103
|send			|	2023-03-06 21:29:11.856710	|	0		|	104
|receive		|	2023-03-06 21:29:12.862629	|	0		|	114
|receive		|	2023-03-06 21:29:13.866035	|	0		|	121
|internal event	|	2023-03-06 21:29:14.873191	|	0		|	122
|internal event	|	2023-03-06 21:29:15.878885	|	0		|	123
|send			|	2023-03-06 21:29:16.881066	|	0		|	124
|receive		|	2023-03-06 21:29:17.886329	|	0		|	139
|receive		|	2023-03-06 21:29:18.891400	|	1		|	141
|receive		|	2023-03-06 21:29:19.896632	|	0		|	152
|internal event	|	2023-03-06 21:29:20.902703	|	0		|	153
|internal event	|	2023-03-06 21:29:21.904370	|	0		|	154
|send			|	2023-03-06 21:29:22.908425	|	0		|	155
|receive		|	2023-03-06 21:29:23.913272	|	0		|	177
|internal event	|	2023-03-06 21:29:24.919286	|	0		|	178
|receive		|	2023-03-06 21:29:25.921844	|	2		|	181
|receive		|	2023-03-06 21:29:26.927252	|	1		|	182
|receive		|	2023-03-06 21:29:27.933393	|	1		|	183
|receive		|	2023-03-06 21:29:28.936975	|	1		|	196
|receive		|	2023-03-06 21:29:29.942373	|	0		|	200
|receive		|	2023-03-06 21:29:30.947802	|	0		|	208
|internal event	|	2023-03-06 21:29:31.952172	|	0		|	209
|internal event	|	2023-03-06 21:29:32.954775	|	0		|	210
|internal event	|	2023-03-06 21:29:33.959522	|	0		|	211
|receive		|	2023-03-06 21:29:34.965705	|	0		|	230
|receive		|	2023-03-06 21:29:35.976594	|	1		|	232
|receive		|	2023-03-06 21:29:36.980769	|	0		|	233
|internal event	|	2023-03-06 21:29:37.988099	|	0		|	234
|internal event	|	2023-03-06 21:29:38.993324	|	0		|	235
|internal event	|	2023-03-06 21:29:39.998815	|	0		|	236
|internal event	|	2023-03-06 21:29:41.008338	|	0		|	237
|send			|	2023-03-06 21:29:42.018573	|	0		|	238
|internal event	|	2023-03-06 21:29:43.023967	|	0		|	239
|receive		|	2023-03-06 21:29:44.027872	|	0		|	274
|internal event	|	2023-03-06 21:29:45.032420	|	0		|	275
|internal event	|	2023-03-06 21:29:46.033834	|	0		|	276
|internal event	|	2023-03-06 21:29:47.034510	|	0		|	277
|receive		|	2023-03-06 21:29:48.040712	|	1		|	286
|receive		|	2023-03-06 21:29:49.043876	|	0		|	288
|internal event	|	2023-03-06 21:29:50.050318	|	0		|	289
|receive		|	2023-03-06 21:29:51.054532	|	0		|	304
|receive		|	2023-03-06 21:29:52.060653	|	0		|	315
|receive		|	2023-03-06 21:29:53.064072	|	0		|	317
|receive		|	2023-03-06 21:29:54.069855	|	1		|	326
|receive		|	2023-03-06 21:29:55.072152	|	1		|	327
