operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  6   	Server  port:  28001   	Client  port:  38001 
|internal event	|	2023-03-07 11:32:09.696206	|	0		|	1
|send			|	2023-03-07 11:32:09.696311	|	0		|	2
|send			|	2023-03-07 11:32:09.696339	|	0		|	3
|internal event	|	2023-03-07 11:32:09.696352	|	0		|	4
|send			|	2023-03-07 11:32:09.696374	|	0		|	5
|internal event	|	2023-03-07 11:32:09.696387	|	0		|	6
|receive		|	2023-03-07 11:32:10.709665	|	4		|	8	18001
|receive		|	2023-03-07 11:32:10.709699	|	3		|	10	18001
|receive		|	2023-03-07 11:32:10.709713	|	2		|	11	18001
|receive		|	2023-03-07 11:32:10.709724	|	1		|	12	18001
|receive		|	2023-03-07 11:32:10.709735	|	0		|	14	18001
|send			|	2023-03-07 11:32:10.709786	|	0		|	15
|internal event	|	2023-03-07 11:32:11.716305	|	0		|	16
|internal event	|	2023-03-07 11:32:11.716413	|	0		|	17
|internal event	|	2023-03-07 11:32:11.716439	|	0		|	18
|internal event	|	2023-03-07 11:32:11.716462	|	0		|	19
|internal event	|	2023-03-07 11:32:11.716482	|	0		|	20
|internal event	|	2023-03-07 11:32:11.716499	|	0		|	21
|receive		|	2023-03-07 11:32:12.720809	|	1		|	22	38001
|receive		|	2023-03-07 11:32:12.720839	|	0		|	23	18001
|internal event	|	2023-03-07 11:32:12.720848	|	0		|	24
|internal event	|	2023-03-07 11:32:12.720855	|	0		|	25
|internal event	|	2023-03-07 11:32:12.720861	|	0		|	26
|internal event	|	2023-03-07 11:32:12.720867	|	0		|	27
|receive		|	2023-03-07 11:32:13.726178	|	0		|	28	18001
|internal event	|	2023-03-07 11:32:13.726197	|	0		|	29
|send			|	2023-03-07 11:32:13.726242	|	0		|	30
|internal event	|	2023-03-07 11:32:13.726252	|	0		|	31
|internal event	|	2023-03-07 11:32:13.726259	|	0		|	32
|internal event	|	2023-03-07 11:32:13.726266	|	0		|	33
|receive		|	2023-03-07 11:32:14.731763	|	0		|	34	18001
|internal event	|	2023-03-07 11:32:14.731831	|	0		|	35
|send			|	2023-03-07 11:32:14.731911	|	0		|	36
|internal event	|	2023-03-07 11:32:14.731938	|	0		|	37
|send			|	2023-03-07 11:32:14.731978	|	0		|	38
|internal event	|	2023-03-07 11:32:14.732000	|	0		|	39
|receive		|	2023-03-07 11:32:15.736579	|	0		|	40	38001
|send			|	2023-03-07 11:32:15.736708	|	0		|	41
|internal event	|	2023-03-07 11:32:15.736728	|	0		|	42
|internal event	|	2023-03-07 11:32:15.736740	|	0		|	43
|internal event	|	2023-03-07 11:32:15.736752	|	0		|	44
|send			|	2023-03-07 11:32:15.736768	|	0		|	45
|receive		|	2023-03-07 11:32:16.742696	|	2		|	46	18001
|receive		|	2023-03-07 11:32:16.742807	|	1		|	47	18001
|receive		|	2023-03-07 11:32:16.742829	|	0		|	48	18001
|internal event	|	2023-03-07 11:32:16.742858	|	0		|	49
|internal event	|	2023-03-07 11:32:16.742878	|	0		|	50
|internal event	|	2023-03-07 11:32:16.742896	|	0		|	51
|internal event	|	2023-03-07 11:32:17.743629	|	0		|	52
|send			|	2023-03-07 11:32:17.743720	|	0		|	53
|internal event	|	2023-03-07 11:32:17.743735	|	0		|	54
|internal event	|	2023-03-07 11:32:17.743746	|	0		|	55
|internal event	|	2023-03-07 11:32:17.743755	|	0		|	56
|internal event	|	2023-03-07 11:32:17.743764	|	0		|	57
|receive		|	2023-03-07 11:32:18.748958	|	1		|	58	18001
|receive		|	2023-03-07 11:32:18.748990	|	0		|	59	18001
|send			|	2023-03-07 11:32:18.749048	|	0		|	60
|internal event	|	2023-03-07 11:32:18.749060	|	0		|	61
|internal event	|	2023-03-07 11:32:18.749071	|	0		|	62
|internal event	|	2023-03-07 11:32:18.749078	|	0		|	63
|receive		|	2023-03-07 11:32:19.757759	|	2		|	64	18001
|receive		|	2023-03-07 11:32:19.757810	|	1		|	65	18001
|receive		|	2023-03-07 11:32:19.757835	|	0		|	66	18001
|send			|	2023-03-07 11:32:19.758005	|	2		|	67
|receive		|	2023-03-07 11:32:19.758094	|	1		|	68	18001
|receive		|	2023-03-07 11:32:19.758114	|	0		|	69	38001
|internal event	|	2023-03-07 11:32:20.760551	|	0		|	70
|internal event	|	2023-03-07 11:32:20.760573	|	0		|	71
|internal event	|	2023-03-07 11:32:20.760582	|	0		|	72
|internal event	|	2023-03-07 11:32:20.760589	|	0		|	73
|send			|	2023-03-07 11:32:20.760627	|	0		|	74
|internal event	|	2023-03-07 11:32:20.760636	|	0		|	75
